00o7c,2r3k1/p4ppp/1pb1pq2/1P6/2Q1PP2/6P1/P5BP/2R3K1 b - - 0 24,c6b7 c4c8 b7c8 c1c8 f6d8 c8d8,657,92,https://lichess.org/3D9Cq2HT/black#48
01749,2r3k1/5ppp/4p3/3n4/2QB4/1r4P1/5PKP/R2q4 b - - 1 32,c8c4 a1a8 b3b8 a8b8 c4c8 b8c8,609,99,https://lichess.org/OVh3Rgxm/black#64
01Dtr,b4rk1/2pn2p1/1p4q1/6N1/7Q/4B3/1P3PPP/3R2K1 w - - 6 27,d1d7 g6b1 e3c1 b1c1 d7d1 c1d1,671,80,https://lichess.org/ZvCTnCI7#53
01Vbe,2r5/3Qnk1p/8/4B2b/Pp2p3/1P2P3/5PPP/3R2K1 w - - 3 32,d1d6 c8c1 d6d1 c1d1 d7d1 h5d1,644,79,https://lichess.org/b334W1Ga#63
01uFt,2k1q3/pp1r4/6p1/3p4/6Q1/1B6/PPP5/1K1R4 w - - 0 33,d1d5 e8e1 d5d1 e1d1 g4d1 d7d1,643,91,https://lichess.org/HCzogcJU#65
0202T,2r3k1/5ppp/2rqp3/2p5/PpQP4/6P1/2R1PP1P/2R3K1 b - - 2 27,c5d4 c4c6 c8c6 c2c6 d6c6 c1c6,642,103,https://lichess.org/NSQedfY7/black#54
02eRO,6k1/1R3p1p/6p1/1p2rb2/8/2Bp3P/6P1/6K1 b - - 5 46,e5d5 b7b8 f5c8 b8c8 d5d8 c8d8,603,95,https://lichess.org/BSUrVaM0/black#92
037Zo,4r3/1p2r1k1/p2p4/4bpp1/3B2n1/1BP3P1/PP2R2P/4R1K1 w - - 6 38,h2h3 e5d4 c3d4 e7e2 e1e2 e8e2,606,87,https://lichess.org/mXCRSTqO#75
03EFQ,6k1/p5rp/p3p1p1/1b2N3/3rp3/PP2K3/7P/2R5 b - - 1 32,d4d5 c1c8 d5d8 c8d8 b5e8 d8e8,607,81,https://lichess.org/ZVKTxxzu/black#64
06CKT,4r1k1/5p2/5Bp1/7p/pR5P/1p6/r5PK/8 b - - 1 31,e8e2 b4b8 e2e8 b8e8 g8h7 e8h8,670,83,https://lichess.org/RxRfFmsp/black#62
06eXX,2rr2k1/p1q3pp/4Q3/3p4/1PnP1P2/2P5/P3RP1P/4R1K1 b - - 0 24,g8h8 e6e8 d8e8 e2e8 c8e8 e1e8,695,81,https://lichess.org/4M7zm488/black#48
0755v,1r1q2k1/ppp1rppp/8/n4bB1/2BPp3/1Q6/P1P2PPP/R3R1K1 w - - 4 20,c4f7 e7f7 b3f7 g8f7 g5d8 b8d8,662,89,https://lichess.org/VsMyDjrZ#39
08DaE,6kr/4N1p1/2n1ppp1/1q2P1N1/2RP4/7P/5PP1/2R3K1 b - - 0 30,c6e7 c4c8 e7c8 c1c8 b5e8 c8e8,652,79,https://lichess.org/uOZSL1wT/black#60
09ZRi,1r1R3k/ppp3pp/2n2p2/2q5/Q1P5/8/PP3PPP/3R2K1 b - - 7 23,b8d8 d1d8 c6d8 a4e8 c5f8 e8f8,623,90,https://lichess.org/Yx8HTgRk/black#46
0A5xv,r5k1/2q1rppp/1R6/B1p5/4P3/P2B1PP1/2P3K1/1R6 b - - 7 38,a8a5 b6b8 c7b8 b1b8 e7e8 b8e8,665,96,https://lichess.org/uXbvvSZy/black#76
0BPlZ,8/8/5k2/4p3/4P1Rp/7P/8/2r4K w - - 6 50,g4g1 c1g1 h1g1 f6g5 g1f2 g5f4,655,81,https://lichess.org/B4vDpqtn#99
0Bnks,3r1rk1/p1p2Rpp/8/2p1q3/8/2P5/P1P2QPP/5RK1 b - - 0 22,f8f7 f2f7 g8h8 f7f8 d8f8 f1f8,676,93,https://lichess.org/Vx2Tn2kk/black#44
